name_zh,old_file,new_file,old_id,new_id,operation
永冬低速心跳 10bpm,ambience/amb_everwinter_10bpm_loop.ogg,ambience/amb_eternal_frost_heartbeat_10bpm_loop.ogg,amb_everwinter_10bpm_loop,amb_eternal_frost_heartbeat_10bpm_loop,rename
永冬心跳逐渐减慢演出,ambience/amb_everwinter_slowing.ogg,ambience/amb_eternal_frost_heartbeat.ogg,amb_everwinter_slowing,amb_eternal_frost_heartbeat,rename
ROOT 电子脉冲循环,music/mus_root_pulse_loop.ogg,music/music_root_pulse_loop.ogg,mus_root_pulse_loop,music_root_pulse_loop,rename
片尾制作人员音乐,music/mus_credits_loop.ogg,music/music_credits_loop.ogg,mus_credits_loop,music_credits_loop,rename
嫩芽移动摩擦循环,sfx/sfx_sprout_move_loop.ogg,sfx/sfx_sprout_move_loop.ogg,sfx_sprout_move_loop,sfx_sprout_move_loop,unchanged
嫩芽停止移动声,sfx/sfx_sprout_stop.wav,sfx/sfx_sprout_move_stop.wav,sfx_sprout_stop,sfx_sprout_move_stop,rename
黏液进入声 1,sfx/sfx_slime_enter_01.wav,sfx/sfx_slime_enter_01.wav,sfx_slime_enter_01,sfx_slime_enter_01,unchanged
黏液进入声 2,sfx/sfx_slime_enter_02.wav,sfx/sfx_slime_enter_02.wav,sfx_slime_enter_02,sfx_slime_enter_02,unchanged
黏液进入声 3,sfx/sfx_slime_enter_03.wav,sfx/sfx_slime_enter_03.wav,sfx_slime_enter_03,sfx_slime_enter_03,unchanged
黏液脱离声 1,sfx/sfx_slime_exit_01.wav,sfx/sfx_slime_exit_01.wav,sfx_slime_exit_01,sfx_slime_exit_01,unchanged
黏液脱离声 2,sfx/sfx_slime_exit_02.wav,sfx/sfx_slime_exit_02.wav,sfx_slime_exit_02,sfx_slime_exit_02,unchanged
保鲜膜拉伸循环,sfx/sfx_wrap_stretch_loop.ogg,sfx/sfx_plastic_film_stretch_loop.ogg,sfx_wrap_stretch_loop,sfx_plastic_film_stretch_loop,rename
保鲜膜破裂声 1,sfx/sfx_wrap_tear_01.wav,sfx/sfx_plastic_film_break_01.wav,sfx_wrap_tear_01,sfx_plastic_film_break_01,rename
保鲜膜破裂声 2,sfx/sfx_wrap_tear_02.wav,sfx/sfx_plastic_film_break_02.wav,sfx_wrap_tear_02,sfx_plastic_film_break_02,rename
玻璃瓶轻碰声 1,sfx/sfx_glass_light_01.wav,sfx/sfx_glass_tap_01.wav,sfx_glass_light_01,sfx_glass_tap_01,rename
玻璃瓶轻碰声 2,sfx/sfx_glass_light_02.wav,sfx/sfx_glass_tap_02.wav,sfx_glass_light_02,sfx_glass_tap_02,rename
玻璃瓶轻碰声 3,sfx/sfx_glass_light_03.wav,sfx/sfx_glass_tap_03.wav,sfx_glass_light_03,sfx_glass_tap_03,rename
玻璃瓶重撞声 1,sfx/sfx_glass_heavy_01.wav,sfx/sfx_glass_impact_01.wav,sfx_glass_heavy_01,sfx_glass_impact_01,rename
玻璃瓶重撞声 2,sfx/sfx_glass_heavy_02.wav,sfx/sfx_glass_impact_02.wav,sfx_glass_heavy_02,sfx_glass_impact_02,rename
冰霜接触声 1,sfx/sfx_frost_touch_01.wav,sfx/sfx_frost_touch_01.wav,sfx_frost_touch_01,sfx_frost_touch_01,unchanged
冰霜接触声 2,sfx/sfx_frost_touch_02.wav,sfx/sfx_frost_touch_02.wav,sfx_frost_touch_02,sfx_frost_touch_02,unchanged
冰霜接触声 3,sfx/sfx_frost_touch_03.wav,sfx/sfx_frost_touch_03.wav,sfx_frost_touch_03,sfx_frost_touch_03,unchanged
冰晶吸收声 1,sfx/sfx_ice_crystal_01.wav,sfx/sfx_frost_absorb_01.wav,sfx_ice_crystal_01,sfx_frost_absorb_01,rename
冰晶吸收声 2,sfx/sfx_ice_crystal_02.wav,sfx/sfx_frost_absorb_02.wav,sfx_ice_crystal_02,sfx_frost_absorb_02,rename
冰晶吸收声 3,sfx/sfx_ice_crystal_03.wav,sfx/sfx_frost_absorb_03.wav,sfx_ice_crystal_03,sfx_frost_absorb_03,rename
冰晶吸收声 4,sfx/sfx_ice_crystal_04.wav,sfx/sfx_frost_absorb_04.wav,sfx_ice_crystal_04,sfx_frost_absorb_04,rename
通用道具发现声,sfx/sfx_item_discover.wav,sfx/sfx_item_discover.wav,sfx_item_discover,sfx_item_discover,unchanged
通用道具吸收声,sfx/sfx_item_absorb.wav,sfx/sfx_item_absorb.wav,sfx_item_absorb,sfx_item_absorb,unchanged
牛奶 Do 音,sfx/sfx_milk_do.wav,sfx/sfx_milk_do.wav,sfx_milk_do,sfx_milk_do,unchanged
牛奶 Re 音,sfx/sfx_milk_re.wav,sfx/sfx_milk_re.wav,sfx_milk_re,sfx_milk_re,unchanged
牛奶 Mi 音,sfx/sfx_milk_mi.wav,sfx/sfx_milk_mi.wav,sfx_milk_mi,sfx_milk_mi,unchanged
幼龙稚嫩叫声 1,sfx/sfx_baby_dragon_01.wav,sfx/sfx_dragon_chirp_01.wav,sfx_baby_dragon_01,sfx_dragon_chirp_01,rename
幼龙稚嫩叫声 2,sfx/sfx_baby_dragon_02.wav,sfx/sfx_dragon_chirp_02.wav,sfx_baby_dragon_02,sfx_dragon_chirp_02,rename
幼龙稚嫩叫声 3,sfx/sfx_baby_dragon_03.wav,sfx/sfx_dragon_chirp_03.wav,sfx_baby_dragon_03,sfx_dragon_chirp_03,rename
旧神眼睛睁开声 1,sfx/sfx_oldgod_eye_01.wav,sfx/sfx_eldritch_eye_open_01.wav,sfx_oldgod_eye_01,sfx_eldritch_eye_open_01,rename
旧神眼睛睁开声 2,sfx/sfx_oldgod_eye_02.wav,sfx/sfx_eldritch_eye_open_02.wav,sfx_oldgod_eye_02,sfx_eldritch_eye_open_02,rename
旧神眼睛睁开声 3,sfx/sfx_oldgod_eye_03.wav,sfx/sfx_eldritch_eye_open_03.wav,sfx_oldgod_eye_03,sfx_eldritch_eye_open_03,rename
绕柱仪式确认音 1,sfx/sfx_ritual_checkpoint_01.wav,sfx/sfx_ritual_step_01.wav,sfx_ritual_checkpoint_01,sfx_ritual_step_01,rename
绕柱仪式确认音 2,sfx/sfx_ritual_checkpoint_02.wav,sfx/sfx_ritual_step_02.wav,sfx_ritual_checkpoint_02,sfx_ritual_step_02,rename
绕柱仪式确认音 3,sfx/sfx_ritual_checkpoint_03.wav,sfx/sfx_ritual_step_03.wav,sfx_ritual_checkpoint_03,sfx_ritual_step_03,rename
绕柱仪式确认音 4,sfx/sfx_ritual_checkpoint_04.wav,sfx/sfx_ritual_step_04.wav,sfx_ritual_checkpoint_04,sfx_ritual_step_04,rename
仪式顺序错误声,sfx/sfx_ritual_wrong.wav,sfx/sfx_ritual_error.wav,sfx_ritual_wrong,sfx_ritual_error,rename
冷凝水拾取声 1,sfx/sfx_condensation_pickup_01.wav,sfx/sfx_condensation_pickup_01.wav,sfx_condensation_pickup_01,sfx_condensation_pickup_01,unchanged
冷凝水拾取声 2,sfx/sfx_condensation_pickup_02.wav,sfx/sfx_condensation_pickup_02.wav,sfx_condensation_pickup_02,sfx_condensation_pickup_02,unchanged
同伴唤醒音 A（洋葱）,sfx/sfx_companion_wake_A.wav,sfx/sfx_companion_onion_wake.wav,sfx_companion_wake_A,sfx_companion_onion_wake,rename
同伴唤醒音 B（蒜头）,sfx/sfx_companion_wake_B.wav,sfx/sfx_companion_garlic_wake.wav,sfx_companion_wake_B,sfx_companion_garlic_wake,rename
同伴唤醒音 C（老姜或葱根）,sfx/sfx_companion_wake_C.wav,sfx/sfx_companion_ginger_wake.wav,sfx_companion_wake_C,sfx_companion_ginger_wake,rename
条形码扫描声 1,sfx/sfx_barcode_scan_01.wav,sfx/sfx_barcode_scan_01.wav,sfx_barcode_scan_01,sfx_barcode_scan_01,unchanged
条形码扫描声 2,sfx/sfx_barcode_scan_02.wav,sfx/sfx_barcode_scan_02.wav,sfx_barcode_scan_02,sfx_barcode_scan_02,unchanged
电气节点正确声 1,sfx/sfx_node_correct_01.wav,sfx/sfx_electric_node_ok_01.wav,sfx_node_correct_01,sfx_electric_node_ok_01,rename
电气节点正确声 2,sfx/sfx_node_correct_02.wav,sfx/sfx_electric_node_ok_02.wav,sfx_node_correct_02,sfx_electric_node_ok_02,rename
电气节点正确声 3,sfx/sfx_node_correct_03.wav,sfx/sfx_electric_node_ok_03.wav,sfx_node_correct_03,sfx_electric_node_ok_03,rename
电气节点错误声,sfx/sfx_node_wrong.wav,sfx/sfx_electric_node_error.wav,sfx_node_wrong,sfx_electric_node_error,rename
接通电路声,sfx/sfx_circuit_connected.wav,sfx/sfx_circuit_connected.wav,sfx_circuit_connected,sfx_circuit_connected,unchanged
温控旋钮咔哒声,sfx/sfx_thermostat_tick.wav,sfx/sfx_thermostat_click.wav,sfx_thermostat_tick,sfx_thermostat_click,rename
温控旋钮第七格低频确认,sfx/sfx_thermostat_seventh.wav,sfx/sfx_thermostat_click_seventh.wav,sfx_thermostat_seventh,sfx_thermostat_click_seventh,rename
冰箱门外脚步声（远）,sfx/sfx_outside_steps_far.wav,sfx/sfx_owner_step_far.wav,sfx_outside_steps_far,sfx_owner_step_far,rename
冰箱门外脚步声（中）,sfx/sfx_outside_steps_mid.wav,sfx/sfx_owner_step_mid.wav,sfx_outside_steps_mid,sfx_owner_step_mid,rename
冰箱门外脚步声（近）,sfx/sfx_outside_steps_near.wav,sfx/sfx_owner_step_near.wav,sfx_outside_steps_near,sfx_owner_step_near,rename
冰箱门震动声 1,sfx/sfx_fridge_door_rumble_01.wav,sfx/sfx_fridge_door_rumble_01.wav,sfx_fridge_door_rumble_01,sfx_fridge_door_rumble_01,unchanged
冰箱门震动声 2,sfx/sfx_fridge_door_rumble_02.wav,sfx/sfx_fridge_door_rumble_02.wav,sfx_fridge_door_rumble_02,sfx_fridge_door_rumble_02,unchanged
冰箱门磁吸开启声,sfx/sfx_fridge_magnetic_open.wav,sfx/sfx_fridge_door_open.wav,sfx_fridge_magnetic_open,sfx_fridge_door_open,rename
外卖盒卡扣咔哒,sfx/sfx_takeout_box_snap.wav,sfx/sfx_takeout_lid_click.wav,sfx_takeout_box_snap,sfx_takeout_lid_click,rename
灯开关按下声,sfx/sfx_light_switch.wav,sfx/sfx_light_switch_press.wav,sfx_light_switch,sfx_light_switch_press,rename
垃圾袋摩擦声（拖拽）,sfx/sfx_garbage_bag_01.wav,sfx/sfx_trash_bag_rustle_01.wav,sfx_garbage_bag_01,sfx_trash_bag_rustle_01,rename
垃圾袋摩擦声（撕裂）,sfx/sfx_garbage_bag_02.wav,sfx/sfx_trash_bag_rustle_02.wav,sfx_garbage_bag_02,sfx_trash_bag_rustle_02,rename
垃圾袋摩擦声（堆叠）,sfx/sfx_garbage_bag_03.wav,sfx/sfx_trash_bag_rustle_03.wav,sfx_garbage_bag_03,sfx_trash_bag_rustle_03,rename
垃圾袋落地声,sfx/sfx_garbage_bag_drop.wav,sfx/sfx_trash_bag_drop.wav,sfx_garbage_bag_drop,sfx_trash_bag_drop,rename
雨夜填埋场环境声,ambience/amb_landfill_rain_loop.ogg,ambience/amb_landfill_rain_loop.ogg,amb_landfill_rain_loop,amb_landfill_rain_loop,unchanged
窗外风声与鸟声,ambience/amb_window_wind_birds_loop.ogg,ambience/amb_balcony_wind_birds_loop.ogg,amb_window_wind_birds_loop,amb_balcony_wind_birds_loop,rename
收银或报表完成声,sfx/sfx_kpi_complete.wav,sfx/sfx_kpi_report_complete.wav,sfx_kpi_complete,sfx_kpi_report_complete,rename
系统 ROOT 成功声,sfx/sfx_root_success.wav,sfx/sfx_root_access_granted.wav,sfx_root_success,sfx_root_access_granted,rename
试听混剪,试听混剪.wav,audio_preview_montage.wav,,,rename
